Company Name,Website,Score,Tier,Positive Signals,Negative Signals,Booth,Hall,City,State/Province,Country,Notes
Black Sky Aerospace,https://bsaero.space/,47,B,"as9100, assembly, ems, erp, manufacturing, mes",,525,Hall ABC,,,United States,"Positive: as9100, assembly, ems, erp, manufacturing, mes"
Horstman Group,https://www.horstmangroup.com,47,B,"additive manufacturing, assembly, ems, itar, manufacturing, supply chain",,1543,Hall ABC,Sterling Heights,MI,United States,"Positive: additive manufacturing, assembly, ems, itar, manufacturing, supply chain"
"Intellisense Systems, Inc.",https://www.intellisenseinc.com,47,B,"as9100, ems, itar, manufacturing, mes, oem",,4005,Hall ABC,Torrance,CA,United States,"Positive: as9100, ems, itar, manufacturing, mes, oem"
Michigan Office of Defense & Aerospace Innovation,https://www.michiganbusiness.org/defense/,46,B,"assembly, distribution, erp, itar, manufacturer, manufacturing, mes, supply chain","cybersecurity, media",4145,Hall ABC,Lansing,MI,United States,"Positive: assembly, distribution, erp, itar, manufacturer, manufacturing; Negative: cybersecurity, media"
Clear Align,https://www.clearalign.com,45,B,"as9100, assembly, ems, fabrication, itar, manufacturing, mes",foundation,640,Hall ABC,Eagleville,PA,United States,"Positive: as9100, assembly, ems, fabrication, itar, manufacturing; Negative: foundation"
Meritec,https://www.meritec.com,45,B,"assembly, ems, iso 9001, itar, mes, oem",,7021,Hall DE,Painesvile,OH,United States,"Positive: assembly, ems, iso 9001, itar, mes, oem"
LCR Embedded Systems,https://www.lcrembeddedsystems.com/,44,B,"ems, itar, manufacturer, manufacturing, mes",,1667,Hall ABC,,LC,USA,"Positive: ems, itar, manufacturer, manufacturing, mes"
Equipto Electronics Corporation,https://www.equiptoelec.com/,43,B,"assembly, ems, iso 9001, itar, manufacturer, manufacturing, mes",association,1667,Hall ABC,Aurora,IL,United States,"Positive: assembly, ems, iso 9001, itar, manufacturer, manufacturing; Negative: association"
Junghans Defence,https://www.junghans-defence.com,43,B,"bom, erp, fabrication, itar, mes",,2707,Hall ABC,,,USA,"Positive: bom, erp, fabrication, itar, mes"
Astronics,https://www.astronics.com,41,B,"distribution, ems, itar, kitting, manufacturing, mes",it services,8401,Hall DE,East Aurora,NY,United States,"Positive: distribution, ems, itar, kitting, manufacturing, mes; Negative: it services"
DCS Corporation,https://www.dcscorp.com,41,B,"ems, erp, itar, manufacturing, mes, sheet metal",cybersecurity,1061,Hall ABC,,DC,United States,"Positive: ems, erp, itar, manufacturing, mes, sheet metal; Negative: cybersecurity"
LMT Defense,https://www.lmtdefense.com,41,B,"ems, itar, manufacturer, mes, mrp",,1855,Hall ABC,,LM,USA,"Positive: ems, itar, manufacturer, mes, mrp"
Arete,https://arete.com,39,C,"distribution, ems, erp, itar, mes",,4119,Hall ABC,Northridge,CA,United States,"Positive: distribution, ems, erp, itar, mes"
Dongin Optical,https://www.donginoptical.com,38,C,"cnc, ems, erp, iso 9001, itar",,7519,Hall DE,,,USA,"Positive: cnc, ems, erp, iso 9001, itar"
IEE,https://www.ieeinc.com,38,C,"as9100, ems, iso 9001, itar, oem",,708,Hall ABC,Steve Motter,VP,USA,"Positive: as9100, ems, iso 9001, itar, oem"
Integris Composites,https://www.integriscomposites.com/,38,C,"composite, ems, itar, manufacturer, manufacturing",,2717,Hall ABC,Vienna,VA,United States,"Positive: composite, ems, itar, manufacturer, manufacturing"
Amphenol Military and Aerospace Operations,https://www.amphenolamao.com,37,C,"ems, itar, machining, manufacturing, mes, supply chain",media,3539,Hall ABC,Sidney,NY,United States,"Positive: ems, itar, machining, manufacturing, mes, supply chain; Negative: media"
BOH Solutions,https://www.bohsolutions.com,37,C,"ems, inventory, itar, manufacturing, mes, warehouse, warehousing","foundation, media",3343,Hall ABC,,BO,USA,"Positive: ems, inventory, itar, manufacturing, mes, warehouse; Negative: foundation, media"
Echodyne,https://www.echodyne.com/,37,C,"distribution, ems, itar, manufacturer, manufacturing, mes",foundation,147,Hall ABC,Kirkland,WA,United States,"Positive: distribution, ems, itar, manufacturer, manufacturing, mes; Negative: foundation"
ARESIA,https://aresia.com/,36,C,"distribution, fabrication, iso 9001, mes, supply chain",,2641,Hall ABC,,,USA,"Positive: distribution, fabrication, iso 9001, mes, supply chain"
Celestica,https://www.celestica.com,36,C,"erp, fulfillment, machining, manufacturing, mes, supply chain",media,3943,Hall ABC,Maple Grove,MN,United States,"Positive: erp, fulfillment, machining, manufacturing, mes, supply chain; Negative: media"
Ferra,https://www.ferra-group.com,36,C,"assembly, ems, manufacturer, manufacturing, mes, supply chain",media,525,Hall ABC,,,USA,"Positive: assembly, ems, manufacturer, manufacturing, mes, supply chain; Negative: media"
Govini,https://www.govini.com,36,C,"ems, erp, inventory, itar, manufacturing, mes, supply chain","insurance, media",6921,Hall DE,Arlington,VA,United States,"Positive: ems, erp, inventory, itar, manufacturing, mes; Negative: insurance, media"
NIOA Group,https://www.nioa.com.au/,36,C,"ems, erp, itar, manufacturing, mes, supply chain",media,2239,Hall ABC,,,Australia,"Positive: ems, erp, itar, manufacturing, mes, supply chain; Negative: media"
Deschamps,https://www.deschamps-systems.com/,35,C,"ems, iso 9001, itar, manufacturer",,2738,Hall ABC,,,USA,"Positive: ems, iso 9001, itar, manufacturer"
Arkeus,https://arkeus.com/,34,C,"ems, erp, fabrication, itar, manufacturing, mes, supply chain","association, foundation",525,Hall ABC,,,USA,"Positive: ems, erp, fabrication, itar, manufacturing, mes; Negative: association, foundation"
Armor Australia,https://www.armoraustralia.com,34,C,"assembly, composite, ems, itar, manufacturer, manufacturing",bank,525,Hall ABC,,,USA,"Positive: assembly, composite, ems, itar, manufacturer, manufacturing; Negative: bank"
Interstate Connecting Components,https://www.connecticc.com,34,C,"assembly, distribution, inventory, itar",,1867,Hall ABC,Lumberton,NJ,United States,"Positive: assembly, distribution, inventory, itar"
KNDS Deutschland GmbH & Co. KG,https://www.knds.com,34,C,"ems, erp, itar, manufacturer, manufacturing, mes, welding","association, media",751,Hall ABC,,,USA,"Positive: ems, erp, itar, manufacturer, manufacturing, mes; Negative: association, media"
A.W. Bell,https://www.awbell.com.au/,33,C,"assembly, ems, machining, manufacturer",,525,Hall ABC,,,Australia,"Positive: assembly, ems, machining, manufacturer"
"Applied Research Associates, Inc.",https://www.ara.com,33,C,"ems, erp, fabrication, manufacturing, mes",consulting,407,Hall ABC,Albuquerque,NM,United States,"Positive: ems, erp, fabrication, manufacturing, mes; Negative: consulting"
"Glenair, Inc.",https://www.glenair.com/,33,C,"assembly, ems, iso 9001, itar, manufacturer, manufacturing, mes","college, media",547,Hall ABC,Glendale,CA,United States,"Positive: assembly, ems, iso 9001, itar, manufacturer, manufacturing; Negative: college, media"
Bisalloy Steels,https://www.bisalloy.com.au,32,C,"fabrication, itar, manufacturer, manufacturing",,525,Hall ABC,,,Australia,"Positive: fabrication, itar, manufacturer, manufacturing"
Carahsoft,https://www.carahsoft.com,32,C,"ems, erp, manufacturer, mes, supply chain",cybersecurity,1767,Hall ABC,Reston,VA,United States,"Positive: ems, erp, manufacturer, mes, supply chain; Negative: cybersecurity"
Caterpillar Inc.,https://www.cat.com/defense,32,C,"ems, erp, itar, manufacturing",,2205,Hall ABC,Irving,TX,United States,"Positive: ems, erp, itar, manufacturing"
Cyalume Light Technology,https://getcyalume.com/industries/military-chemlights,32,C,"ems, erp, itar, manufacturer",,2212,Hall ABC,West Springfield,MA,United States,"Positive: ems, erp, itar, manufacturer"
"Fischer Connectors, Inc.",https://www.fischerconnectors.com,32,C,"assembly, ems, erp, itar",,1948,Hall ABC,Alpharetta,GA,United States,"Positive: assembly, ems, erp, itar"
